#,The tool improves the quality of my work,The tool gives me greater control over my work,I am more productive with the tool,The tool makes my job easier,,,,,,
o1l2k7rtxbqsiako32w1o1l2k76xjr34,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,5,5,5,5
z993444i5g2xuhzt7w5z99344rvoru8y,Strongly agree,Strongly agree,Agree,Strongly agree,,,5,5,4,5
jcrgqc7ufzrj8firpf7jcrgqcfhcoew7,Agree,Strongly agree,Agree,Strongly agree,,,4,5,4,5
ysq2vqkso3gckmysq37wpxqb8mlowx37,Agree,Strongly agree,Agree,Strongly agree,,,4,5,4,5
vjnsdfjz397zvjnsxnf5j9nd5dzgwym5,Agree,Strongly agree,Agree,Agree,,,4,5,4,4
rk97qji2wbh6thlgpp6rky11so5v79b6,Agree,Agree,Strongly agree,Strongly agree,,,4,4,5,5
vzi8nqgzqptbvoovanuiikvzi8nqgzbl,Agree,Agree,Strongly agree,Strongly agree,,,4,4,5,5
nz0o47v2c1a7hfud1nzp2olwzmgkmu0j,Boarderline,Agree,Agree,Agree,,,4,4,4,4
0dhyppicqd9vjxs5wmb10dhyppymntt7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,3,5,5,5
z4nyqgjbb58yzt8otz4nyqgj1yld9gtu,Strongly agree,Agree,Strongly agree,Strongly agree,,,5,4,5,5
mb3adssjbo3h1btpg8vmb3adsjx65u6a,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,5,5,5,5
fs7hxipfsb6vvjma6j5hfs7hxurqy2nt,Strongly agree,Agree,Strongly agree,Strongly agree,,,5,4,5,5
j1ja5xkt1k6qkxl1ur0j1ja5xwjufsdc,Agree,Strongly agree,Strongly agree,Agree,,,4,5,5,4
buxajak9trzzgqd2etbuxaja6ehwi9fu,Agree,Agree,Agree,Agree,,,4,4,5,4
rde0aaodpmq2xtd3nrde0aauxjcchj3b,Agree,Agree,Boarderline,Agree,,,4,4,3,4
cjk9yirbos9o2puts869cjk96xaog211,Agree,Agree,Agree,Strongly agree,,,4,4,4,5
ontqr4i8qd875uz5v0j1eontqr444nlv,Boarderline,Boarderline,Boarderline,Agree,,,3,3,3,4
zdcsbhom7cfv1411lsepzdcsrto0eb21,Agree,Agree,Agree,Agree,,,4,4,4,4
nbj982ccq1zyb00skilwnbj982c92c5y,Agree,Agree,Agree,Agree,,,4,4,4,4
,,,,,,,,,,
,,,,,,,4.157894737,4.368421053,4.368421053,4.578947368
,,,,,,,0.602140432,0.59726472,0.683985568,0.507257274
,,,,,,,,,,
,,,,,,,71.1150861,75.42312665,73.68870969,81.4338019
,,,,,,,24.08561727,23.89058881,27.35942272,20.29029094
,,,,,,,83.15789474,87.36842105,87.36842105,91.57894737